event_id,timestamp_utc,host,user,process_name,event_type,ioc_type,hash_type,ioc_value,file_name,file_path,action,severity,detection_rule,source_ip,destination_ip,label,notes
evt-file-hashes-000001,2025-03-01T02:45:23.352000+00:00,ENG-LAB-021,user043,wscript.exe,file_created,File Hash,SHA256,c0345690d8b7f91350d2ae04d0fc28b48d4d21f1cc3f52acd77746e656b320c2,macro_template.dotm,C:\Program Files\Common Files,blocked,low,IOC-HASH-476,10.1.91.237,203.0.113.251,benign,Synthetic training data; not a real indicator
evt-file-hashes-000002,2025-03-01T03:13:31.688000+00:00,ENG-LAB-036,user080,chrome.exe,file_modified,File Hash,SHA1,8252bb7c99c69e529cfd821a73399cce9ce6d920,document.pdf,C:\Users\Public\Documents,allowed,medium,IOC-HASH-560,10.0.234.126,198.51.100.170,benign,Synthetic training data; not a real indicator
evt-file-hashes-000003,2025-03-01T03:48:13.592000+00:00,ENG-LAB-036,user053,winword.exe,file_scanned,File Hash,SHA1,4d5d06ee01436b2e47ceb7182e70c382a45a411c,helper.ps1,C:\Users\Public\Documents,blocked,low,IOC-HASH-541,10.1.117.212,203.0.113.181,benign,Synthetic training data; not a real indicator
evt-file-hashes-000004,2025-03-01T04:01:21.039000+00:00,ENG-LAB-049,user073,cscript.exe,process_file_write,File Hash,SHA256,edff76ccd9fb867f80c78aa08b2df689bed650cc4de0b135addf94452369257c,setup.tmp,C:\Users\user\AppData\Local\Temp,logged,low,IOC-HASH-296,10.1.83.218,203.0.113.3,suspicious,Synthetic training data; not a real indicator
evt-file-hashes-000005,2025-03-01T04:09:22.424000+00:00,ENG-LAB-044,user086,explorer.exe,file_quarantined,File Hash,SHA1,4dfd36c7b0849331c88b7923745a0aeff63b61ff,payload.dll,C:\Users\user\AppData\Local\Temp,logged,medium,IOC-HASH-727,10.3.73.112,198.51.100.205,benign,Synthetic training data; not a real indicator
evt-file-hashes-000006,2025-03-01T04:11:27.512000+00:00,ENG-LAB-055,user069,wscript.exe,file_modified,File Hash,SHA256,1835b19a4fff0c0414ae1a09762fd7700325d1337aa8bef19dca2920aeacdd24,invoice.docm,C:\ProgramData,blocked,low,IOC-HASH-277,10.0.137.7,203.0.113.19,benign,Synthetic training data; not a real indicator
evt-file-hashes-000007,2025-03-01T10:35:46.100000+00:00,ENG-LAB-014,user065,cscript.exe,file_scanned,File Hash,SHA1,707721a004828075a086fcf70fde04a6b7c4c69d,document.pdf,C:\Users\Public\Documents,alerted,low,IOC-HASH-580,10.0.142.106,198.51.100.198,benign,Synthetic training data; not a real indicator
evt-file-hashes-000008,2025-03-01T11:22:23.484000+00:00,ENG-LAB-029,user010,python.exe,file_created,File Hash,SHA1,a38703f6cfcbeef38c15d670cf80984aec21dbc2,agent.bin,C:\Program Files\Common Files,allowed,medium,IOC-HASH-105,10.0.10.174,203.0.113.109,suspicious,Synthetic training data; not a real indicator
evt-file-hashes-000009,2025-03-01T11:57:54.628000+00:00,ENG-LAB-033,user031,chrome.exe,file_quarantined,File Hash,SHA256,7524df9e307dcbf520864c1129ad7c2acbe1ab9668b41540f6da8f6923ec0e41,agent.bin,C:\Users\user\AppData\Local\Temp,blocked,low,IOC-HASH-372,10.0.240.106,203.0.113.72,benign,Synthetic training data; not a real indicator
evt-file-hashes-000010,2025-03-01T12:41:58.669000+00:00,ENG-LAB-052,user058,regsvr32.exe,process_file_write,File Hash,MD5,bf525bb788e84d438516620b3866bb6e,service.dat,C:\Users\user\Downloads,allowed,medium,IOC-HASH-213,10.3.112.218,198.51.100.148,benign,Synthetic training data; not a real indicator
evt-file-hashes-000011,2025-03-01T13:59:41.474000+00:00,ENG-LAB-005,user029,cmd.exe,file_created,File Hash,SHA256,b3204fc86de6b997b7ea27f3a8f52973e4a33fa210c5afbc65a6af6d2e072eb9,payload.dll,C:\Program Files\Common Files,alerted,low,IOC-HASH-573,10.1.167.9,198.51.100.91,suspicious,Synthetic training data; not a real indicator
evt-file-hashes-000012,2025-03-01T14:57:24.282000+00:00,ENG-LAB-025,user007,outlook.exe,file_quarantined,File Hash,SHA256,fff26018ff3ef3c4c56e4f048d8fa80e0559a270e032b02a1bdff67a6b43da2e,setup.tmp,C:\Users\user\AppData\Local\Temp,logged,medium,IOC-HASH-629,10.0.136.20,203.0.113.105,benign,Synthetic training data; not a real indicator
evt-file-hashes-000013,2025-03-01T15:04:55.998000+00:00,ENG-LAB-058,user003,msedge.exe,file_scanned,File Hash,SHA256,bf63765274c70bd6d559b4ee094f991ccab598d6a4e9102bfa7ae06fa7221c84,service.dat,C:\Users\Public\Documents,blocked,high,IOC-HASH-845,10.0.202.232,198.51.100.37,malicious,Synthetic training data; not a real indicator
evt-file-hashes-000014,2025-03-01T16:24:37.717000+00:00,ENG-LAB-029,user099,python.exe,process_file_write,File Hash,SHA1,113b4fc8eb83f1f83fccb21edc917bf7a26400ff,setup.tmp,C:\Users\Public\Downloads,allowed,low,IOC-HASH-233,10.0.142.106,198.51.100.71,suspicious,Synthetic training data; not a real indicator
evt-file-hashes-000015,2025-03-01T17:16:48.322000+00:00,ENG-LAB-045,user026,winword.exe,file_scanned,File Hash,SHA256,09bfa0fc4327b233ffe45df45dd755aa3b649b0d0c4943daa1104edcee5aa5ae,macro_template.dotm,C:\Users\user\AppData\Local\Temp,logged,high,IOC-HASH-649,10.0.247.38,198.51.100.37,benign,Synthetic training data; not a real indicator
evt-file-hashes-000016,2025-03-01T17:50:45.157000+00:00,ENG-LAB-007,user039,msedge.exe,file_created,File Hash,MD5,1ac9bffeafe77cb2ac737179bee6bf68,payload.dll,C:\Users\Public\Downloads,blocked,medium,IOC-HASH-155,10.2.252.241,198.51.100.42,malicious,Synthetic training data; not a real indicator
evt-file-hashes-000017,2025-03-01T18:55:14.969000+00:00,ENG-LAB-048,user004,regsvr32.exe,process_file_write,File Hash,SHA256,c576169cb43d2105cdfee3c06fa35ea24c3cf967419181566e65d3f5a416ae3b,payload.dll,C:\Program Files\Common Files,quarantined,medium,IOC-HASH-429,10.0.136.237,198.51.100.172,benign,Synthetic training data; not a real indicator
evt-file-hashes-000018,2025-03-01T19:26:11.951000+00:00,ENG-LAB-015,user094,msedge.exe,file_created,File Hash,SHA256,1594dc0172b0f7310b95ff84e3ecf9594b58ed8188258c5f51811cadbaeacfb1,document.pdf,C:\Users\Public\Downloads,quarantined,medium,IOC-HASH-416,10.3.225.27,203.0.113.181,suspicious,Synthetic training data; not a real indicator
evt-file-hashes-000019,2025-03-01T22:07:52.011000+00:00,ENG-LAB-020,user074,powershell.exe,file_modified,File Hash,SHA256,93385c7f83ac4119e3950b14089b7b37a4728bd43ce8d5aef676605a8a4b2ac6,setup.tmp,C:\Users\user\AppData\Local\Temp,logged,medium,IOC-HASH-590,10.3.19.219,203.0.113.19,benign,Synthetic training data; not a real indicator
evt-file-hashes-000020,2025-03-01T22:34:21.260000+00:00,ENG-LAB-005,user096,svchost.exe,file_modified,File Hash,SHA256,e8ad8f5ba56daa1575bdafa63d21311dd680c883545d43cb5b2cfc793cbafc80,helper.ps1,C:\Users\user\Downloads,logged,low,IOC-HASH-194,10.1.86.136,203.0.113.111,suspicious,Synthetic training data; not a real indicator
evt-file-hashes-000021,2025-03-01T23:56:49.132000+00:00,ENG-LAB-018,user068,regsvr32.exe,process_file_write,File Hash,SHA1,4447feb6f21a51f0c61650c8c29f1eeb146bdf02,document.pdf,C:\Program Files\Common Files,blocked,low,IOC-HASH-253,10.0.32.254,203.0.113.1,benign,Synthetic training data; not a real indicator
