@timestamp,event.category,event.action,source.ip,source.port,destination.ip,destination.port,user.name,container.image.name,message,,,,,,
"Mar 4, 2025 @ 13:57:16.410",network,dns_query,192.168.1.91,55340,192.168.1.27,5044,,local/nginx:latest,dns query | source.ip=192.168.1.91 | destination.ip=192.168.1.27 | destination.port=5044 | event.outcome=failure,,,,,,
"Mar 4, 2025 @ 14:04:40.399",network,connection_denied,10.10.20.6,49101,10.10.12.162,443,,local/logstash:latest,connection denied | source.ip=10.10.20.6 | destination.ip=10.10.12.162 | destination.port=443 | event.outcome=failure,,,,,,
"Mar 4, 2025 @ 14:12:58.590",authentication,failed_login,172.16.5.119,31609,172.16.5.57,5601,guest,docker.elastic.co/elasticsearch/elasticsearch:8.12.0,failed login | source.ip=172.16.5.119 | destination.ip=172.16.5.57 | destination.port=5601 | event.outcome=failure | user.name=guest,,,,,,
"Mar 4, 2025 @ 14:19:16.528",network,connection_denied,203.0.113.34,59116,172.16.5.189,53,,local/nginx:latest,connection denied | source.ip=203.0.113.34 | destination.ip=172.16.5.189 | destination.port=53 | event.outcome=failure,,,,,,
"Mar 4, 2025 @ 14:19:34.057",web,directory_traversal_pattern,198.51.100.118,48347,10.10.12.246,5601,,local/auth-service:latest,directory traversal pattern | source.ip=198.51.100.118 | destination.ip=10.10.12.246 | destination.port=5601 | event.outcome=success | url.path=/wp-login.php,,,,,,
"Mar 4, 2025 @ 14:51:25.687",process,process_started,203.0.113.137,39296,172.16.5.198,443,kibana_system,docker.elastic.co/kibana/kibana:8.12.0,process started | source.ip=203.0.113.137 | destination.ip=172.16.5.198 | destination.port=443 | event.outcome=failure | user.name=kibana_system,,,,,,
"Mar 4, 2025 @ 14:58:16.116",process,process_ended,10.10.20.54,47145,172.16.5.194,53,elastic,local/logstash:latest,process ended | source.ip=10.10.20.54 | destination.ip=172.16.5.194 | destination.port=53 | event.outcome=failure | user.name=elastic,,,,,,
"Mar 4, 2025 @ 15:01:14.608",network,port_scan_detected,203.0.113.43,55475,172.16.5.193,53,,local/nginx:latest,port scan detected | source.ip=203.0.113.43 | destination.ip=172.16.5.193 | destination.port=53 | event.outcome=unknown,,,,,,
"Mar 4, 2025 @ 15:12:54.993",authentication,failed_login,10.10.12.115,20649,10.10.20.179,22,admin,docker.elastic.co/elasticsearch/elasticsearch:8.12.0,failed login | source.ip=10.10.12.115 | destination.ip=10.10.20.179 | destination.port=22 | event.outcome=failure | user.name=admin,,,,,,
"Mar 4, 2025 @ 15:26:53.807",authentication,user_login,192.168.1.183,8572,192.168.1.76,9300,admin,docker.elastic.co/kibana/kibana:8.12.0,user login | source.ip=192.168.1.183 | destination.ip=192.168.1.76 | destination.port=9300 | event.outcome=success | user.name=admin,,,,,,
"Mar 4, 2025 @ 15:27:42.794",authentication,ssh_login,192.0.2.68,48675,172.16.5.235,53,elastic,local/postgres:latest,ssh login | source.ip=192.0.2.68 | destination.ip=172.16.5.235 | destination.port=53 | event.outcome=success | user.name=elastic,,,,,,
"Mar 4, 2025 @ 15:34:55.844",network,connection_accepted,192.168.1.59,28303,172.16.5.65,9200,,local/postgres:latest,connection accepted | source.ip=192.168.1.59 | destination.ip=172.16.5.65 | destination.port=9200 | event.outcome=success,,,,,,
"Mar 4, 2025 @ 15:36:12.307",authentication,failed_login,172.16.5.6,10473,10.10.20.152,9300,elastic,docker.elastic.co/kibana/kibana:8.12.0,failed login | source.ip=172.16.5.6 | destination.ip=10.10.20.152 | destination.port=9300 | event.outcome=failure | user.name=elastic,,,,,,
"Mar 4, 2025 @ 15:46:40.958",network,port_scan_detected,198.51.100.10,2265,10.10.12.50,5044,,docker.elastic.co/kibana/kibana:8.12.0,port scan detected | source.ip=198.51.100.10 | destination.ip=10.10.12.50 | destination.port=5044 | event.outcome=success,,,,,,
"Mar 4, 2025 @ 15:58:08.565",authentication,user_logout,198.51.100.178,50411,172.16.5.54,5432,admin,local/nginx:latest,user logout | source.ip=198.51.100.178 | destination.ip=172.16.5.54 | destination.port=5432 | event.outcome=unknown | user.name=admin,,,,,,
"Mar 4, 2025 @ 15:58:31.185",web,directory_traversal_pattern,198.51.100.169,18025,192.168.1.77,9300,,local/auth-service:latest,directory traversal pattern | source.ip=198.51.100.169 | destination.ip=192.168.1.77 | destination.port=9300 | event.outcome=unknown | url.path=/,,,,,,
"Mar 4, 2025 @ 16:02:14.954",web,http_request,203.0.113.130,63989,10.10.20.16,5432,,docker.elastic.co/elasticsearch/elasticsearch:8.12.0,http request | source.ip=203.0.113.130 | destination.ip=10.10.20.16 | destination.port=5432 | event.outcome=success | url.path=/login,,,,,,
"Mar 4, 2025 @ 16:13:46.915",database,db_query,203.0.113.48,43066,10.10.20.198,3389,guest,local/nginx:latest,db query | source.ip=203.0.113.48 | destination.ip=10.10.20.198 | destination.port=3389 | event.outcome=failure | user.name=guest,,,,,,
"Mar 4, 2025 @ 16:14:00.630",web,directory_traversal_pattern,198.51.100.129,11333,10.10.20.96,5601,,docker.elastic.co/kibana/kibana:8.12.0,directory traversal pattern | source.ip=198.51.100.129 | destination.ip=10.10.20.96 | destination.port=5601 | event.outcome=failure | url.path=/api/users,,,,,,
"Mar 4, 2025 @ 16:19:04.577",database,db_error,192.168.1.38,17186,172.16.5.37,5432,j.smith,local/postgres:latest,db error | source.ip=192.168.1.38 | destination.ip=172.16.5.37 | destination.port=5432 | event.outcome=failure | user.name=j.smith,,,,,,
