event_id,timestamp_utc,host,user,process_name,event_type,ioc_type,ioc_value,source_ip
evt-mutexes-000001,2026-06-01T01:33:13+00:00,ENG-LAB-055,user003,svchost.exe,mutex_created,Mutex,QSR_MUTEX_5wFxVjrlzCZeil93t9,10.2.219.230
evt-mutexes-000002,2026-06-01T01:45:19+00:00,ENG-LAB-018,user072,svchost.exe,mutex_created,Mutex,Global\InstallerMutex_{da2bd0eb-9d33-43f6-b6b9-853a50592c43},10.1.18.214
evt-mutexes-000003,2026-06-01T02:51:23+00:00,ENG-LAB-050,user053,teams.exe,mutex_created,Mutex,Session\TelemetrySync_{8482a03c-0727-4d1e-b984-5235b59bc8cc},10.1.148.253
evt-mutexes-000004,2026-06-01T03:10:22+00:00,ENG-LAB-057,user091,winword.exe,mutex_created,Mutex,Local\OfficeCache_{ece558ea-ae97-4204-a81d-4da066e8d2e2},10.0.50.16
evt-mutexes-000005,2026-06-01T03:57:24+00:00,ENG-LAB-039,user067,outlook.exe,mutex_created,Mutex,Global\UpdaterLock_{63d4a387-9158-4f80-962b-36b7ce064c28},10.3.84.216
evt-mutexes-000006,2026-06-01T04:23:27+00:00,ENG-LAB-031,user038,outlook.exe,mutex_created,Mutex,Global\LabAgent_{42102631-5000-401c-84a5-b0638fb4ba0a},10.3.65.252
evt-mutexes-000007,2026-06-01T05:07:50+00:00,ENG-LAB-007,user070,svchost.exe,mutex_created,Mutex,Local\OfficeCache_{c9ad5e39-abe0-451b-8c38-ba22eb287394},10.3.185.57
evt-mutexes-000008,2026-06-01T05:15:20+00:00,ENG-LAB-045,user002,svchost.exe,mutex_created,Mutex,Local\LabAgent_{110efa72-85b5-4378-a978-e966e667692d},10.3.0.134
evt-mutexes-000009,2026-06-01T05:29:14+00:00,ENG-LAB-027,user096,python.exe,mutex_created,Mutex,Local\UpdaterLock_{31579233-0328-41a1-827a-89d6c7273fd6},10.0.216.9
evt-mutexes-000010,2026-06-01T07:05:38+00:00,ENG-LAB-018,user005,outlook.exe,mutex_created,Mutex,Global\LabAgent_{4231a26f-e38a-41c7-89ec-c810a6e3c34e},10.2.52.24
evt-mutexes-000011,2026-06-01T07:50:23+00:00,ENG-LAB-053,user047,chrome.exe,mutex_created,Mutex,Global\BrowserSingleton_{284e4662-b655-4f15-a616-f2f5d7fd9c85},10.1.170.201
evt-mutexes-000012,2026-06-01T08:49:00+00:00,ENG-LAB-025,user054,reg.exe,mutex_created,Mutex,Local\OneDriveSync_{505858c8-6f98-447a-b06b-0fb28d9bee71},10.0.95.18
evt-mutexes-000013,2026-06-01T11:18:07+00:00,ENG-LAB-053,user002,chrome.exe,mutex_created,Mutex,Session\UpdaterLock_{fe132bc0-9d86-4011-bf1d-43bab4cb7014},10.3.69.222
