event_id,timestamp_utc,host,user,process_name,event_type,ioc_type,ioc_value,source_ip
evt-registry_keys-000001,2026-06-01T01:40:57+00:00,ENG-LAB-023,user053,powershell.exe,registry_write,Registry Key,HKLM\Software\E9F9EEC3-86CA-4EBE-9AA4-1B55EE8D114E,10.1.130.12
evt-registry_keys-000002,2026-06-01T01:49:15+00:00,ENG-LAB-005,user100,powershell.exe,registry_write,Registry Key,HKLM\SOFTWARE\WOW6432Node\MicroWorld\eScan for Windows\ODS,10.0.201.152
evt-registry_keys-000003,2026-06-01T01:54:23+00:00,ENG-LAB-053,user036,powershell.exe,registry_write,Registry Key,HKLM\SOFTWARE\WOW6432Node\MicroWorld\eScan for Windows\MwMonitor,10.2.250.65
evt-registry_keys-000004,2026-06-01T02:59:21+00:00,ENG-LAB-013,user086,winword.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\TestPersistence,10.3.128.249
evt-registry_keys-000005,2026-06-01T04:25:56+00:00,ENG-LAB-006,user067,winword.exe,registry_write,Registry Key,HKLM\System\CurrentControlSet\Services,10.3.79.237
evt-registry_keys-000006,2026-06-01T04:46:20+00:00,ENG-LAB-055,user022,outlook.exe,registry_write,Registry Key,HKCU\System\CurrentControlSet\Services\LabUpdater,10.1.13.144
evt-registry_keys-000007,2026-06-01T05:02:40+00:00,ENG-LAB-024,user092,svchost.exe,registry_write,Registry Key,HKCU\Software\Policies\Microsoft\Windows\System\SampleService,10.3.146.109
evt-registry_keys-000008,2026-06-01T06:02:06+00:00,ENG-LAB-010,user096,python.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\RunOnce\SampleService,10.1.214.57
evt-registry_keys-000009,2026-06-01T06:06:23+00:00,ENG-LAB-004,user066,chrome.exe,registry_write,Registry Key,HKCU\Software\Classes\ms-settings\Shell\Open\command\LabUpdater,10.3.25.143
evt-registry_keys-000010,2026-06-01T07:10:33+00:00,ENG-LAB-007,user094,svchost.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\RunOnce,10.0.56.40
evt-registry_keys-000011,2026-06-01T07:50:52+00:00,ENG-LAB-051,user040,svchost.exe,registry_write,Registry Key,HKCU\Software\Classes\ms-settings\Shell\Open\command\DemoValue,10.0.120.104
evt-registry_keys-000012,2026-06-01T08:08:11+00:00,ENG-LAB-015,user023,chrome.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\RunOnce\LabUpdater,10.2.248.161
evt-registry_keys-000013,2026-06-01T08:57:25+00:00,ENG-LAB-031,user020,outlook.exe,registry_write,Registry Key,HKCU\System\CurrentControlSet\Services\LabUpdater,10.1.13.144
evt-registry_keys-000014,2026-06-01T09:15:07+00:00,ENG-LAB-004,user042,python.exe,registry_write,Registry Key,HKLM\Software\Classes\ms-settings\Shell\Open\command\TestPersistence,10.1.252.24
