event_id,timestamp_utc,host,user,process_name,event_type,ioc_type,ioc_value,detection_rule,source_ip,destination_ip
evt-urls-000001,2026-06-01T01:11:21+00:00,ENG-LAB-023,user082,outlook.exe,network_connection,URL,https://media.hyperfilevault2.mom,IOC-URL-634,10.0.41.108,198.51.100.106
evt-urls-000002,2026-06-01T03:04:21+00:00,ENG-LAB-030,user091,powershell.exe,network_connection,URL,https://hyperfilevault2.mom,IOC-URL-257,10.3.246.55,198.51.100.52
evt-urls-000003,2026-06-01T04:24:44+00:00,ENG-LAB-022,user016,reg.exe,network_connection,URL,https://www.hyperfilevault2.mom,IOC-URL-589,10.1.148.253,203.0.113.118
evt-urls-000004,2026-06-01T05:45:06+00:00,ENG-LAB-017,user029,python.exe,network_connection,URL,https://arch2.maxdatahost1.cyou,IOC-URL-671,10.2.63.185,198.51.100.99
evt-urls-000005,2026-06-01T06:31:26+00:00,ENG-LAB-007,user068,msedge.exe,network_connection,URL,https://hyperfilevault1.xyz,IOC-URL-459,10.3.108.238,198.51.100.118
evt-urls-000006,2026-06-01T06:42:15+00:00,ENG-LAB-003,user061,svchost.exe,network_connection,URL,https://auth.example.org/cdn/js/app.js?id=f5934282,IOC-URL-253,10.2.91.130,198.51.100.223
evt-urls-000007,2026-06-01T06:58:33+00:00,ENG-LAB-007,user004,reg.exe,network_connection,URL,http://api.telemetry.test/collect?utm=demo,IOC-URL-154,10.1.62.117,203.0.113.29
evt-urls-000008,2026-06-01T07:28:35+00:00,ENG-LAB-027,user012,winword.exe,network_connection,URL,https://auth.sample.invalid/images/logo.png?id=b4d807ae,IOC-URL-572,10.2.108.168,198.51.100.78
evt-urls-000009,2026-06-01T07:43:45+00:00,ENG-LAB-035,user017,outlook.exe,network_connection,URL,http://assets.telemetry.test/cdn/js/app.js?utm=lab,IOC-URL-155,10.3.176.187,203.0.113.150
evt-urls-000010,2026-06-01T08:13:10+00:00,ENG-LAB-051,user036,teams.exe,network_connection,URL,http://cdn.example.net/login,IOC-URL-505,10.1.3.19,203.0.113.5
evt-urls-000011,2026-06-01T09:34:54+00:00,ENG-LAB-017,user021,teams.exe,network_connection,URL,http://api.sample.invalid/cdn/js/app.js,IOC-URL-249,10.1.85.105,203.0.113.237
evt-urls-000012,2026-06-01T09:54:22+00:00,ENG-LAB-057,user034,svchost.exe,network_connection,URL,https://api.sample.invalid/api/v1/checkin?utm=test,IOC-URL-278,10.1.170.201,203.0.113.17
evt-urls-000013,2026-06-01T10:10:17+00:00,ENG-LAB-036,user076,msedge.exe,network_connection,URL,https://auth.sample.invalid/collect,IOC-URL-881,10.2.223.156,198.51.100.80
evt-urls-000014,2026-06-01T10:22:16+00:00,ENG-LAB-014,user020,python.exe,network_connection,URL,https://auth.sample.invalid/download/package.bin?q=8685,IOC-URL-640,10.1.135.30,203.0.113.57
evt-urls-000015,2026-06-01T10:23:27+00:00,ENG-LAB-037,user041,python.exe,network_connection,URL,http://www.sample.invalid/collect?q=9410,IOC-URL-374,10.3.99.184,203.0.113.214
evt-urls-000016,2026-06-01T10:35:47+00:00,ENG-LAB-035,user007,svchost.exe,network_connection,URL,https://files.example.net/portal/auth?q=5558,IOC-URL-765,10.1.35.12,198.51.100.146
evt-urls-000017,2026-06-01T13:36:11+00:00,ENG-LAB-030,user076,winword.exe,network_connection,URL,https://assets.telemetry.test/api/v1/checkin?id=4a7b308f,IOC-URL-192,10.0.169.19,203.0.113.166
evt-urls-000018,2026-06-01T15:32:07+00:00,ENG-LAB-049,user036,rundll32.exe,network_connection,URL,http://www.updates.example/cdn/js/app.js?q=3938,IOC-URL-713,10.1.249.57,203.0.113.186
evt-urls-000019,2026-06-01T15:42:18+00:00,ENG-LAB-017,user031,teams.exe,network_connection,URL,https://api.example.org/cdn/js/app.js?q=4102,IOC-URL-354,10.0.126.149,198.51.100.45
evt-urls-000020,2026-06-01T16:05:35+00:00,ENG-LAB-018,user029,powershell.exe,network_connection,URL,http://assets.example.net/news,IOC-URL-502,10.0.54.200,203.0.113.71
evt-urls-000021,2026-06-01T17:01:21+00:00,ENG-LAB-025,user081,python.exe,network_connection,URL,http://api.telemetry.test/login?utm=lab,IOC-URL-684,10.1.220.202,203.0.113.200
evt-urls-000022,2026-06-01T18:55:18+00:00,ENG-LAB-039,user003,python.exe,network_connection,URL,https://files.telemetry.test/cdn/js/app.js?q=8412,IOC-URL-409,10.2.125.58,203.0.113.154
evt-urls-000023,2026-06-01T20:01:35+00:00,ENG-LAB-017,user070,python.exe,network_connection,URL,https://assets.example.com/login?q=1511,IOC-URL-769,10.3.93.13,203.0.113.77
evt-urls-000024,2026-06-01T20:05:17+00:00,ENG-LAB-032,user091,teams.exe,network_connection,URL,https://www.telemetry.test/cdn/js/app.js?id=8947c26c,IOC-URL-107,10.0.185.225,198.51.100.250
evt-urls-000025,2026-06-01T20:19:19+00:00,ENG-LAB-032,user015,msedge.exe,network_connection,URL,https://assets.example.com/images/logo.png?q=5951,IOC-URL-650,10.2.219.230,203.0.113.199
evt-urls-000026,2026-06-01T20:24:24+00:00,ENG-LAB-057,user082,outlook.exe,network_connection,URL,https://cdn.updates.example/download/package.bin?id=c4bf9f5a,IOC-URL-738,10.3.49.92,198.51.100.51
evt-urls-000027,2026-06-01T22:13:08+00:00,ENG-LAB-007,user081,teams.exe,network_connection,URL,https://m.sample.invalid/download/package.bin?id=e0ede77d,IOC-URL-896,10.3.128.249,203.0.113.9
evt-urls-000028,2026-06-01T23:38:04+00:00,ENG-LAB-020,user086,chrome.exe,network_connection,URL,http://www.example.org/api/v1/checkin,IOC-URL-901,10.3.202.227,198.51.100.218
evt-urls-000029,2026-06-02T00:44:27+00:00,ENG-LAB-023,user090,msedge.exe,network_connection,URL,http://assets.example.net/login,IOC-URL-161,10.1.35.12,198.51.100.251
evt-urls-000030,2026-06-02T02:36:18+00:00,ENG-LAB-019,user068,msedge.exe,network_connection,URL,https://auth.example.org/login?q=6917,IOC-URL-298,10.0.42.165,198.51.100.68
evt-urls-000031,2026-06-02T04:03:16+00:00,ENG-LAB-056,user062,msedge.exe,network_connection,URL,https://assets.sample.invalid/api/v1/checkin?q=5658,IOC-URL-510,10.3.79.237,203.0.113.38
evt-urls-000032,2026-06-02T05:38:52+00:00,ENG-LAB-015,user059,svchost.exe,network_connection,URL,https://m.example.com/cdn/js/app.js?q=4389,IOC-URL-885,10.3.86.169,198.51.100.54
evt-urls-000033,2026-06-02T05:55:00+00:00,ENG-LAB-014,user039,winword.exe,network_connection,URL,https://auth.updates.example/images/logo.png,IOC-URL-882,10.1.142.172,203.0.113.149
evt-urls-000034,2026-06-02T06:23:29+00:00,ENG-LAB-009,user066,reg.exe,network_connection,URL,http://m.telemetry.test/images/logo.png?q=4365,IOC-URL-677,10.0.235.138,198.51.100.33
evt-urls-000035,2026-06-02T08:10:39+00:00,ENG-LAB-021,user024,chrome.exe,network_connection,URL,http://cdn.example.org/cdn/js/app.js?utm=lab,IOC-URL-405,10.2.234.81,203.0.113.51
evt-urls-000036,2026-06-02T08:42:33+00:00,ENG-LAB-013,user047,rundll32.exe,network_connection,URL,http://cdn.updates.example/images/logo.png?q=9728,IOC-URL-346,10.1.216.153,198.51.100.129
evt-urls-000037,2026-06-02T09:43:53+00:00,ENG-LAB-036,user065,winword.exe,network_connection,URL,https://m.example.org/api/v1/checkin?utm=demo,IOC-URL-649,10.1.216.153,203.0.113.85
evt-urls-000038,2026-06-02T09:55:42+00:00,ENG-LAB-008,user060,outlook.exe,network_connection,URL,http://m.example.net/portal/auth?utm=test,IOC-URL-515,10.1.243.116,198.51.100.4
evt-urls-000039,2026-06-02T10:18:07+00:00,ENG-LAB-054,user064,teams.exe,network_connection,URL,http://cdn.example.net/api/v1/checkin?q=4906,IOC-URL-116,10.1.158.58,198.51.100.10
evt-urls-000040,2026-06-02T10:35:16+00:00,ENG-LAB-042,user041,chrome.exe,network_connection,URL,https://m.updates.example/download/package.bin,IOC-URL-885,10.1.249.57,198.51.100.42
evt-urls-000041,2026-06-02T11:31:08+00:00,ENG-LAB-017,user073,winword.exe,network_connection,URL,http://www.example.net/images/logo.png?id=fe5bfb74,IOC-URL-846,10.3.181.109,203.0.113.99
evt-urls-000042,2026-06-02T12:35:05+00:00,ENG-LAB-025,user072,reg.exe,network_connection,URL,http://cdn.updates.example/download/package.bin?utm=demo,IOC-URL-433,10.3.181.109,198.51.100.13
evt-urls-000043,2026-06-02T12:57:48+00:00,ENG-LAB-028,user071,msedge.exe,network_connection,URL,https://files.updates.example/portal/auth?utm=lab,IOC-URL-582,10.2.219.230,203.0.113.63
evt-urls-000044,2026-06-02T13:39:32+00:00,ENG-LAB-042,user044,chrome.exe,network_connection,URL,https://assets.example.net/api/v1/checkin?utm=demo,IOC-URL-942,10.3.79.237,203.0.113.55
evt-urls-000045,2026-06-02T14:37:35+00:00,ENG-LAB-039,user049,msedge.exe,network_connection,URL,http://auth.updates.example/download/package.bin?utm=lab,IOC-URL-361,10.2.91.130,203.0.113.123
evt-urls-000046,2026-06-02T15:49:04+00:00,ENG-LAB-037,user094,outlook.exe,network_connection,URL,http://www.example.org/collect?q=2740,IOC-URL-119,10.1.211.7,203.0.113.77
evt-urls-000047,2026-06-02T17:21:40+00:00,ENG-LAB-030,user036,reg.exe,network_connection,URL,http://assets.updates.example/download/package.bin?utm=lab,IOC-URL-363,10.0.58.175,198.51.100.146
evt-urls-000048,2026-06-02T17:31:35+00:00,ENG-LAB-060,user023,rundll32.exe,network_connection,URL,https://assets.example.net/news?q=2523,IOC-URL-462,10.3.84.68,198.51.100.204
